-932121;5908017;0.2145;0.0148;0.1232;0.4291
-931567;5898064;0.2103;0.0154;0.1230;0.4206
-931285;5886571;0.2268;0.0157;0.1227;0.4536
-931224;5858070;0.2186;0.0158;0.1222;0.4372
-931103;5955785;0.2075;0.0159;0.1242;0.4150
-930910;5814792;0.2129;0.0161;0.1213;0.4257
-930002;5811059;0.2217;0.0171;0.1212;0.4435
-929909;5808739;0.2254;0.0172;0.1211;0.4508
-929902;5796842;0.2230;0.0172;0.1209;0.4461
-929690;5738361;0.2348;0.0174;0.1197;0.4695
-929666;5786646;0.2270;0.0174;0.1207;0.4539
-929359;5764512;0.2224;0.0178;0.1202;0.4449
-929270;5757982;0.2286;0.0179;0.1201;0.4571
-929166;5709253;0.2296;0.0180;0.1191;0.4592
-928942;5984893;0.2030;0.0182;0.1248;0.4060
-928846;5855809;0.2078;0.0183;0.1221;0.4157
-928844;5751655;0.2283;0.0183;0.1199;0.4567
-928612;5732307;0.2257;0.0185;0.1195;0.4515
-928383;5692130;0.2403;0.0188;0.1187;0.4807
-928323;5686706;0.2289;0.0189;0.1186;0.4579
-928263;5639994;0.2343;0.0189;0.1176;0.4687
-927752;5731635;0.2281;0.0195;0.1195;0.4562
-927609;5651451;0.2318;0.0196;0.1178;0.4636
-927576;5630069;0.2321;0.0196;0.1174;0.4642
-927102;5696548;0.2250;0.0201;0.1188;0.4500
-926884;5610719;0.2390;0.0204;0.1170;0.4779
-926736;5596722;0.2452;0.0205;0.1167;0.4904
-926084;5768830;0.2184;0.0212;0.1203;0.4368
-926050;5604248;0.2416;0.0213;0.1169;0.4832
-926017;5582866;0.2419;0.0213;0.1164;0.4838
-925891;5745440;0.2235;0.0214;0.1198;0.4470
-925264;5573164;0.2286;0.0221;0.1162;0.4573
-924939;5468480;0.2619;0.0224;0.1140;0.5238
-924908;5545813;0.2539;0.0225;0.1156;0.5077
-924560;5587847;0.2284;0.0228;0.1165;0.4568
-924480;5497826;0.2530;0.0229;0.1146;0.5060
-924361;5493706;0.2334;0.0230;0.1146;0.4668
-923560;5439205;0.2659;0.0239;0.1134;0.5318
-923455;5762217;0.2193;0.0240;0.1202;0.4386
-923400;5452024;0.2422;0.0241;0.1137;0.4844
-923244;5416537;0.2437;0.0242;0.1129;0.4874
-923183;5410058;0.2698;0.0243;0.1128;0.5396
-922507;5402895;0.2695;0.0250;0.1127;0.5389
-922474;5381514;0.2697;0.0250;0.1122;0.5394
-922303;5380965;0.2524;0.0252;0.1122;0.5048
-922282;5828319;0.2090;0.0252;0.1215;0.4180
-921913;5380568;0.2481;0.0256;0.1122;0.4962
