
Gurobi 11.0.3 (linux64, Java) logging started seg 16 dez 2024 14:41:39 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 5.5922415627952831e-08
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_epec/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 146159 rows, 100136 columns and 1217161 nonzeros
Model fingerprint: 0x36843444
Model has 228 quadratic constraints
Variable types: 49958 continuous, 50178 integer (223 binary)
Coefficient statistics:
  Matrix range     [4e-03, 4e+06]
  QMatrix range    [4e-03, 7e+04]
  QLMatrix range   [1e+00, 7e+04]
  Objective range  [1e+00, 4e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 9e+05]
  QRHS range       [2e-01, 2e-01]
Presolve removed 144661 rows and 98208 columns
Presolve time: 0.67s
Presolved: 2355 rows, 2197 columns, 239097 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 223 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 720 continuous, 1477 integer (225 binary)
Found heuristic solution: objective 3824045.5664

Root relaxation: objective 2.544202e+05, 346 iterations, 0.05 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 259674.536    0  255 1437453.52 259674.536  81.9%     -    7s
     0     0 259681.139    0  259 1437453.52 259681.139  81.9%     -    8s
     0     0 259717.468    0  187 1437453.52 259717.468  81.9%     -    8s
     0     0 259717.950    0  184 1437453.52 259717.950  81.9%     -    8s
     0     0 259798.512    0  257 1437453.52 259798.512  81.9%     -    8s
     0     0 259810.036    0  186 1437453.52 259810.036  81.9%     -    8s
     0     0 259902.280    0  183 1437453.52 259902.280  81.9%     -    8s
     0     0 259903.066    0  186 1437453.52 259903.066  81.9%     -    8s
     0     0 259994.798    0  181 1437453.52 259994.798  81.9%     -    8s
     0     0 259996.393    0  185 1437453.52 259996.393  81.9%     -    8s
     0     0 260086.412    0  182 1437453.52 260086.412  81.9%     -    8s
     0     0 260086.952    0  183 1437453.52 260086.952  81.9%     -    8s
     0     0 260169.501    0  181 1437453.52 260169.501  81.9%     -    8s
     0     0 260175.064    0  183 1437453.52 260175.064  81.9%     -    8s
     0     0 260206.138    0  186 1437453.52 260206.138  81.9%     -    8s
     0     0 260206.673    0  187 1437453.52 260206.673  81.9%     -    8s
     0     0 260300.875    0  184 1437453.52 260300.875  81.9%     -    8s
     0     0 260300.929    0  185 1437453.52 260300.929  81.9%     -    8s
     0     0 260351.743    0  181 1437453.52 260351.743  81.9%     -    8s
     0     0 260354.802    0  183 1437453.52 260354.802  81.9%     -    8s
     0     0 260388.516    0  187 1437453.52 260388.516  81.9%     -    9s
     0     0 260388.846    0  187 1437453.52 260388.846  81.9%     -    9s
     0     0 260460.752    0  178 1437453.52 260460.752  81.9%     -    9s
     0     0 260462.056    0  180 1437453.52 260462.056  81.9%     -    9s
     0     0 260494.287    0  184 1437453.52 260494.287  81.9%     -    9s
