
Gurobi 11.0.3 (linux64, Java) logging started ter 26 nov 2024 21:22:10 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 1.2352135373468347e-07
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_hosp/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 18295 rows, 12411 columns and 53324 nonzeros
Model fingerprint: 0x4550d312
Model has 83 quadratic constraints
Variable types: 6168 continuous, 6243 integer (78 binary)
Coefficient statistics:
  Matrix range     [1e-02, 4e+06]
  QMatrix range    [1e-02, 7e+04]
  QLMatrix range   [1e+00, 7e+04]
  Objective range  [2e+00, 2e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 2e+05]
Presolve removed 17832 rows and 11922 columns
Presolve time: 0.15s
Presolved: 1188 rows, 707 columns, 13375 nonzeros
Presolved model has 78 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 299 continuous, 408 integer (70 binary)
Found heuristic solution: objective 6443456.0075

Root relaxation: objective 0.000000e+00, 364 iterations, 0.03 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  7565  4462 829123.419   59  208 2832609.94 611738.122  78.4%  15.5  462s
  7710  4605 1695887.85   90  151 2832609.94 611738.122  78.4%  15.4  475s
  7853  4751 2479611.93  124  118 2832609.94 611738.122  78.4%  15.3  486s
  7999  4872 2547056.71  152  114 2832609.94 611738.122  78.4%  15.2  500s
  8174  5026 2608523.93  183  113 2832609.94 611738.122  78.4%  15.1  511s
  8360  5185 2629870.62  218  109 2832609.94 611738.122  78.4%  15.2  520s
  8529  5342 2653125.81  252  113 2832609.94 611738.122  78.4%  15.3  534s
  8686  5500 2690775.89  298  108 2832609.94 611738.122  78.4%  15.3  550s
  8866  5662 2724283.39  325  102 2832609.94 611738.122  78.4%  15.5  562s
  9045  5819 2777073.66  353   98 2832609.94 611738.122  78.4%  15.6  575s
  9223  5962 2824227.16  371   95 2832609.94 622237.327  78.0%  15.8  590s
  9417  6111 2340039.04   96  145 2832609.94 623082.201  78.0%  15.9  603s
  9603  6273 831550.085   57  230 2832609.94 626925.208  77.9%  16.1  617s
  9790  6425 2141548.28   92  147 2832609.94 628302.544  77.8%  16.2  632s
  9971  6585 1781298.58   80  163 2832609.94 628885.493  77.8%  16.5  645s
 10152  6760 1827512.64   87  161 2832609.94 629846.472  77.8%  16.6  661s
 10372  6921 1273909.61   68  191 2832609.94 633678.093  77.6%  16.7  672s
 10560  7075     cutoff  104      2832609.94 634606.067  77.6%  16.8  686s
 10753  7263 1493715.17   85  164 2832609.94 643463.952  77.3%  16.9  700s
 10983  7416 1315221.59   69  178 2832609.94 644774.655  77.2%  17.0  715s
 11152  7571 1114921.38   66  207 2832609.94 646381.106  77.2%  17.0  728s
 11330  7754 1556061.55   78  176 2832609.94 646512.385  77.2%  17.2  745s
 11513  7892 2637604.17  111  119 2832609.94 646525.744  77.2%  17.1  760s
 11703  8055 826342.499   56  214 2832609.94 646535.741  77.2%  17.2  776s
 11884  8227 2330848.99  103  128 2832609.94 646535.741  77.2%  17.3  790s
 12069  8392 2587991.42  150  109 2832609.94 646535.741  77.2%  17.3  801s
 12248  8562 2630849.29  197  102 2832609.94 646535.741  77.2%  17.2  812s
 12438  8738 2656065.29  244  108 2832609.94 646535.741  77.2%  17.3  825s
 12634  8909 2759771.90  290  112 2832609.94 650576.096  77.0%  17.3  842s
 12829  9055 2034509.05   94  145 2832609.94 650808.463  77.0%  17.5  859s
 13016  9206 1642873.00   86  173 2832609.94 653250.244  76.9%  17.5  874s
 13197 10095 971137.455   60  208 2832609.94 654495.030  76.9%  17.6  892s
H13343 10090                    2828423.4445 654637.645  76.9%  17.6  892s
H13379 10060                    2822812.8931 654637.645  76.8%  17.6  892s
 14223 11681 1899081.94   83  159 2822812.89 657481.162  76.7%  17.7  909s
 16151 13419     cutoff  104      2822812.89 673120.629  76.2%  17.9  919s
 18153 15105 2617403.10  105  122 2822812.89 684818.742  75.7%  18.1  930s
 20155 15556 2179035.56   95  150 2822812.89 698800.043  75.2%  18.5  939s
 20693 16710 2714047.87  131  112 2822812.89 700317.424  75.2%  18.6  946s
 22102 17554 1183431.58   66  198 2822812.89 707427.128  74.9%  18.7  952s
 23213 18412 1269314.39   71  188 2822812.89 715266.056  74.7%  18.9  956s
 24207 19119     cutoff  111      2822812.89 720554.123  74.5%  18.9  960s
 25800 19901 1199631.28   65  187 2822812.89 725920.817  74.3%  19.1  970s
 26003 20022 1617417.55   78  166 2822812.89 725920.817  74.3%  19.0  976s
 26807 21128     cutoff  108      2822812.89 729338.261  74.2%  19.0  982s
 27329 21570 1004363.08   61  212 2822812.89 729984.840  74.1%  19.1  985s
 28471 22488 2662718.36  207  108 2822812.89 732506.533  74.1%  19.0  991s
 29232 23127 2234420.51   99  140 2822812.89 736438.165  73.9%  19.1  995s
 30114 23778 1039973.15   61  209 2822812.89 737737.395  73.9%  19.2 1000s
 30962 24145 2270773.90   93  136 2822812.89 742545.190  73.7%  19.3 1008s
 31009 24487 1739298.47   81  166 2822812.89 743565.717  73.7%  19.3 1010s
 31877 25060 2766062.58  167  114 2822812.89 746726.408  73.5%  19.3 1015s
 32827 25931 2005405.09   88  159 2822812.89 749294.766  73.5%  19.3 1020s
 34254 27160 1137522.30   64  203 2822812.89 754080.399  73.3%  19.4 1025s
 35771 28370 1594558.37   76  168 2822812.89 759813.305  73.1%  19.5 1030s
 36043 28429 2353375.51   99  128 2822812.89 760167.722  73.1%  19.5 1035s
 36762 29153 862617.328   54  229 2822812.89 763039.431  73.0%  19.6 1040s
 38163 30426 1149038.07   62  202 2822812.89 767482.938  72.8%  19.7 1046s
 39392 31470 1085700.48   66  199 2822812.89 770902.527  72.7%  19.8 1050s
 41511 33203 1881670.94   85  155 2822812.89 774397.039  72.6%  19.7 1055s
 42617 33931 2115318.20   90  140 2822812.89 776146.343  72.5%  19.7 1060s
 44045 35109 985733.672   60  210 2822812.89 779171.704  72.4%  19.7 1065s
 45248 36110 1067974.55   63  202 2822812.89 782020.710  72.3%  19.8 1070s
 46781 37497 1961261.74   92  147 2822812.89 783852.100  72.2%  19.8 1076s
 48007 38286 1020742.98   58  212 2822812.89 785845.518  72.2%  19.8 1080s
 49188 39266 2245237.96   91  147 2822812.89 788502.690  72.1%  19.8 1086s
 50264 40080 2196895.06   94  145 2822812.89 790644.673  72.0%  19.9 1090s
 51412 41114 1329342.65   71  184 2822812.89 792637.856  71.9%  19.9 1095s
 52685 42075 1819620.07   80  159 2822812.89 794801.031  71.8%  19.9 1100s
 53850 43108 2733199.84  104  120 2822812.89 795708.978  71.8%  19.9 1105s
 55013 43965 957212.929   59  219 2822812.89 798058.435  71.7%  19.9 1110s
 56132 44961 2625807.99   93  130 2822812.89 799750.951  71.7%  19.9 1115s
 57161 45794 1703491.53   81  170 2822812.89 800756.762  71.6%  20.0 1120s
 58543 46941 1744896.82   79  172 2822812.89 802715.855  71.6%  20.0 1125s
 59767 47912 1079148.89   61  210 2822812.89 803670.443  71.5%  20.0 1130s
 61361 49253 1141545.64   58  212 2822812.89 805000.338  71.5%  20.0 1135s
 62572 50234 1360188.80   70  186 2822812.89 806113.686  71.4%  20.0 1140s
 63846 51309 984341.194   55  213 2822812.89 807238.954  71.4%  20.0 1145s
H64457 51428                    2807991.9021 807869.257  71.2%  20.0 1147s
 64501 51430 1079598.27   67  193 2807991.90 807869.257  71.2%  20.0 1152s
 65005 52055 1042614.06   57  213 2807991.90 808081.305  71.2%  20.0 1155s
 66098 52838 1365664.13   71  195 2807991.90 809666.408  71.2%  20.0 1160s
 67099 53749 2720356.55  107  121 2807991.90 810583.032  71.1%  20.1 1165s
 68432 54813 2007203.42   91  150 2807991.90 812419.734  71.1%  20.1 1170s
 69553 55671 2736144.72  415  103 2807991.90 812540.265  71.1%  20.0 1180s
 70792 56793 1251994.69   70  190 2807991.90 813763.406  71.0%  19.9 1185s
 72315 58095 1390577.70   74  182 2807991.90 814300.954  71.0%  19.9 1190s
 73402 59001 2303830.73   90  139 2807991.90 815231.801  71.0%  19.9 1195s
 74635 59919 916438.630   58  224 2807991.90 817071.086  70.9%  19.9 1200s
 76023 61211 2105665.56   88  157 2807991.90 817793.322  70.9%  19.9 1205s
 77693 62533 1377251.51   71  197 2807991.90 818813.415  70.8%  19.9 1210s
 79290 63918 1305882.13   68  190 2807991.90 820714.255  70.8%  19.9 1215s
 80691 65100 2059002.63   86  153 2807991.90 822015.170  70.7%  19.9 1220s
