
Gurobi 11.0.3 (linux64, Java) logging started qua 27 nov 2024 18:53:39 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 1.2352135373468347e-07
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_hosp/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 18295 rows, 12411 columns and 53324 nonzeros
Model fingerprint: 0x1374cf0f
Model has 83 quadratic constraints
Variable types: 6168 continuous, 6243 integer (78 binary)
Coefficient statistics:
  Matrix range     [1e-02, 4e+06]
  QMatrix range    [1e-02, 7e+04]
  QLMatrix range   [1e+00, 7e+04]
  Objective range  [2e+00, 2e+07]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 1e+05]
  QRHS range       [1e-02, 1e-02]
Presolve removed 17831 rows and 11920 columns
Presolve time: 0.16s
Presolved: 1189 rows, 709 columns, 13378 nonzeros
Presolved model has 78 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 301 continuous, 408 integer (70 binary)
Found heuristic solution: objective 5325056.7147

Root relaxation: objective 0.000000e+00, 237 iterations, 0.02 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 28710 22548 428514.228   28  208 1781271.35 309482.154  82.6%  12.7 1486s
 28914 22713 579923.569   29  203 1781271.35 310471.289  82.6%  12.7 1497s
 29123 22864 857868.357   40  181 1781271.35 311051.620  82.5%  12.7 1508s
 29284 22997 1169382.27   56  150 1781271.35 311269.945  82.5%  12.7 1518s
 29441 23138 1343119.78   60  142 1781271.35 311402.158  82.5%  12.6 1529s
 29624 23267 1062630.78   47  167 1781271.35 311559.068  82.5%  12.7 1541s
 29828 23415 622062.765   29  204 1781271.35 312167.192  82.5%  12.6 1550s
 30013 23592 1156208.58   55  162 1781271.35 312347.465  82.5%  12.7 1558s
 30214 23766 1453372.98   68  131 1781271.35 312881.491  82.4%  12.6 1566s
 30443 23961 777727.452   35  196 1781271.35 313482.862  82.4%  12.6 1577s
 30663 24130 1405613.05   60  147 1781271.35 313602.612  82.4%  12.6 1590s
 30880 24289 1304485.26   54  154 1781271.35 314012.653  82.4%  12.6 1600s
 31067 24453 1467096.73   59  137 1781271.35 314667.752  82.3%  12.6 1608s
 31249 24561 1574779.83   66  129 1781271.35 315215.000  82.3%  12.6 1614s
 31403 24757 665163.154   32  200 1781271.35 316085.140  82.3%  12.6 1626s
 31624 24914 1066180.60   45  175 1781271.35 316185.790  82.2%  12.6 1635s
 31805 25068 1374945.73   49  165 1781271.35 316382.259  82.2%  12.6 1643s
 31999 25240 584098.820   27  206 1781271.35 316761.676  82.2%  12.6 1655s
 32225 25405 976736.098   39  188 1781271.35 317495.741  82.2%  12.6 1665s
 32460 25531 723504.228   34  193 1781271.35 318019.999  82.1%  12.6 1673s
 32605 25642 969828.873   42  182 1781271.35 318411.252  82.1%  12.6 1680s
 32732 25807 574307.754   31  204 1781271.35 318414.707  82.1%  12.6 1693s
 32936 25996 631107.544   32  198 1781271.35 318793.565  82.1%  12.6 1704s
 33163 26161 1131978.99   50  163 1781271.35 319226.146  82.1%  12.6 1715s
 33371 26311 1260285.86   58  145 1781271.35 320046.770  82.0%  12.6 1727s
 33553 26462 1286195.20   54  156 1781271.35 320498.598  82.0%  12.6 1737s
 33738 26634 836241.201   42  177 1781271.35 321143.446  82.0%  12.6 1748s
 33957 26831 1264602.53   58  143 1781271.35 321219.496  82.0%  12.6 1761s
 34201 26984 380296.198   26  212 1781271.35 321856.274  81.9%  12.6 1770s
 34395 27157 785063.251   33  195 1781271.35 322782.107  81.9%  12.6 1781s
 34603 27302 850112.167   46  180 1781271.35 323773.900  81.8%  12.6 1790s
 34760 27379 1694209.28   63  145 1781271.35 323780.518  81.8%  12.6 1797s
H34766 27378                    1780965.1557 323780.518  81.8%  12.6 1797s
 34859 27474 428398.667   25  221 1780965.16 323780.518  81.8%  12.6 1808s
H34883 27474                    1780928.9147 323780.518  81.8%  12.6 1808s
H34893 27474                    1780916.7365 323780.518  81.8%  12.6 1808s
H34969 27474                    1780792.3334 323780.518  81.8%  12.6 1808s
 34974 27600 1180016.52   45  180 1780792.33 324304.621  81.8%  12.6 1819s
H35040 27600                    1780773.0702 324437.877  81.8%  12.6 1819s
H35041 27600                    1780768.4627 324437.877  81.8%  12.6 1819s
H35068 27600                    1780746.1406 324437.877  81.8%  12.6 1819s
 35116 27742 1299505.95   53  157 1780746.14 324443.122  81.8%  12.6 1828s
 35321 27869 578520.117   30  204 1780746.14 325091.962  81.7%  12.6 1836s
 35460 28027 1135642.44   58  168 1780746.14 325500.661  81.7%  12.6 1849s
H35660 27620                    1688997.8988 325665.672  80.7%  12.6 1862s
 35832 27807 792986.893   36  185 1688997.90 326336.234  80.7%  12.6 1872s
 36049 27996 1296438.90   58  150 1688997.90 326648.372  80.7%  12.6 1883s
 36302 28134 1065915.26   49  164 1688997.90 327781.125  80.6%  12.5 1892s
 36466 28277 1097491.20   40  181 1688997.90 327788.629  80.6%  12.6 1901s
 36611 28377     cutoff   60      1688997.90 327885.658  80.6%  12.6 1906s
 36781 28458 906230.300   47  172 1688997.90 327928.364  80.6%  12.6 1913s
 36942 28634 480900.987   28  202 1688997.90 328202.782  80.6%  12.6 1924s
 37185 28817 596994.659   29  207 1688997.90 328688.065  80.5%  12.6 1935s
 37392 28996 1400843.31   57  154 1688997.90 329710.401  80.5%  12.6 1947s
 37613 29179 791247.774   39  183 1688997.90 330500.525  80.4%  12.6 1958s
 37865 29335 1478268.96   56  143 1688997.90 330913.878  80.4%  12.6 1970s
 38154 29529     cutoff   64      1688997.90 331276.452  80.4%  12.6 1983s
 38429 29726 746972.951   42  179 1688997.90 331887.384  80.4%  12.6 1995s
 38681 29854 799830.479   38  188 1688997.90 332481.751  80.3%  12.6 2004s
 38858 29955 389838.910   25  208 1688997.90 333526.858  80.3%  12.6 2011s
 38959 30094 997642.353   46  167 1688997.90 333552.650  80.3%  12.6 2019s
 39136 30265     cutoff   62      1688997.90 333688.904  80.2%  12.6 2030s
 39367 30510 730528.657   39  181 1688997.90 334235.126  80.2%  12.6 2044s
 39612 30664 1367902.84   58  144 1688997.90 334262.603  80.2%  12.6 2055s
 39855 30853 704822.492   36  194 1688997.90 334763.201  80.2%  12.6 2068s
 40078 30994 1668488.36   68  131 1688997.90 335552.026  80.1%  12.6 2079s
 40235 31104 1415126.64   57  153 1688997.90 335855.076  80.1%  12.6 2090s
